abrir fac-refl-int-verb-lex
acabar trans-verb-lex
aceitar mental-act-verb-lex
achar mental-act-verb-lex
aconselhar dir-verb-lex
acreditar_2 fac-infl-inf-trans-first-arg-control-verb-lex
acreditar mental-act-verb-lex
acrescentar declar-verb-lex
acuar trans-verb-lex
administrar trans-verb-lex
admirar trans-verb-lex
admitir_1 mental-act-verb-lex
admitir_2 dir-verb-lex
adoecer nonrefl-int-verb-lex
adorar trans-verb-lex
advertir trans-verb-lex
afirmar declar-verb-lex
agarrar trans-verb-lex
agredir trans-verb-lex
ajudar nonrefl-dat-obj-verb-lex
alegar declar-verb-lex
amar trans-verb-lex
andar ger-aux-lex
aprovar_1 trans-verb-lex
aprovar_2 que-eval-verb-lex
aprovar_3 inf-eval-verb-lex
assegurar declar-verb-lex
atacar trans-verb-lex
atingir trans-verb-lex
atrair trans-verb-lex
aumentar_1 nonrefl-int-verb-lex
aumentar_2 trans-verb-lex
autorizar_1 a-que-ditrans-second-arg-control-verb-lex
autorizar_2 a-inf-ditrans-second-arg-control-verb-lex
autorizar dir-verb-lex
avaliar trans-verb-lex
caçar trans-verb-lex
calcular mental-act-verb-lex
caminhar nonrefl-int-verb-lex
certificar mental-act-verb-lex
chegar nonrefl-int-verb-lex
chorar nonrefl-int-verb-lex
compreender mental-act-verb-lex
concluir declar-verb-lex
concordar declar-verb-lex
concorrer nonrefl-int-verb-lex
confessar declar-verb-lex
conseguir inf-trans-first-arg-control-verb-lex
consentir dir-verb-lex
considerar mental-act-verb-lex
contar ind-cl-rec-verb-lex
continuar ger-aux-lex
contratar trans-verb-lex
convencer_1 a-inf-ditrans-second-arg-control-verb-lex
convencer_2 a-que-ditrans-second-arg-control-verb-lex
convocar trans-verb-lex
correr nonrefl-int-verb-lex
costumar bare-inf-aux-lex
crer mental-act-verb-lex
criticar_1 declar-verb-lex
criticar_2 que-eval-verb-lex
criticar_3 trans-verb-lex
decidir declar-verb-lex
declarar declar-verb-lex
deixar_1 que-caus-verb-lex
deixar_2 inf-ditrans-second-arg-raising-verb-lex
depender nonrefl-gen-obj-verb-lex
deplorar que-eval-verb-lex
desaprovar que-eval-verb-lex
descobrir mental-act-verb-lex
desculpar_1 declar-verb-lex
desculpar_2 que-eval-verb-lex
desejar_2 inf-trans-first-arg-control-verb-lex
desejar vol-verb-lex
desmentir trans-verb-lex
despir trans-verb-lex
determinar dir-verb-lex
detestar_1 inf-eval-verb-lex
detestar_2 que-eval-verb-lex
detestar_3 inf-trans-first-arg-control-verb-lex
dever bare-inf-aux-lex
dispensar trans-verb-lex
dizer_1 declar-verb-lex
dizer_2 dir-verb-lex
dizer_3 fac-infl-inf-trans-first-arg-control-verb-lex
dizer_4 para-inf-ditrans-second-arg-rec-control-verb-lex
dizer_5 ind-cl-rec-verb-lex
dizer_6 que-ditrans-second-arg-rec-control-verb-lex
doar_1 nom-acc-rec-ditransitive-verb-lex
doar trans-verb-lex
dormir nonrefl-int-verb-lex
duvidar mental-act-verb-lex
entender mental-act-verb-lex
entregar nom-acc-rec-ditransitive-verb-lex
entrevistar trans-verb-lex
erguer trans-verb-lex
escorregar nonrefl-int-verb-lex
escrever_2 nonrefl-int-verb-lex
escrever trans-verb-lex
esperar vol-verb-lex
estar_1 estar-aux-lex
evitar que-subj-cl-verb-lex
exigir_2 subj-cl-rec-verb-lex
exigir_3 inf-cl-rec-verb-lex
exigir dir-verb-lex
extinguir trans-verb-lex
fazer_1 com-que-caus-verb-lex
fazer_2 que-caus-verb-lex
fazer_3 inf-ditrans-second-arg-raising-verb-lex
fazer_4 trans-verb-lex
ferir trans-verb-lex
fingir mental-act-verb-lex
forçar a-inf-ditrans-second-arg-control-verb-lex
funcionar nonrefl-int-verb-lex
ganhar trans-verb-lex
gemer nonrefl-int-verb-lex
gerenciar trans-verb-lex
gostar_1 nonrefl-gen-obj-verb-lex
gostar_2 de-inf-comp-trans-first-arg-control-verb-lex
gostar que-eval-verb-lex
haver_2 de-compl-subj-raise-aux-with-pred
haver ter-aux-lex
ignorar_1 quest-verb-lex
ignorar_2 mental-act-verb-lex
imaginar mental-act-verb-lex
imitar trans-verb-lex
impedir dir-verb-lex
insinuar declar-verb-lex
insistir_1 declar-verb-lex
insistir_2 que-subj-cl-verb-lex
insistir_3 em-que-cl-verb-lex
insistir_4 em-inf-comp-trans-first-arg-control-verb-lex
ir_1 ir-aux-lex
ir_2 ger-aux-lex
jurar declar-verb-lex
ladrar nonrefl-int-verb-lex
lamentar_1 inf-eval-verb-lex
lamentar_2 que-eval-verb-lex
lamentar_3 inf-trans-first-arg-control-verb-lex
latir nonrefl-int-verb-lex
mandar_1 que-caus-verb-lex
mandar_2 bare-inf-ditrans-second-arg-control-verb-lex
matar trans-verb-lex
obedecer dat-obj-verb-lex
obedecer nonrefl-dat-obj-verb-lex
obrigar_1 a-inf-ditrans-second-arg-control-verb-lex
obrigar dir-verb-lex
observar declar-verb-lex
odiar que-eval-verb-lex
ordenar dir-verb-lex
ousar inf-trans-first-arg-control-verb-lex
ouvir_1 que-percep-verb-lex
ouvir_2 nonpast-nonfin-ditrans-second-arg-control-verb-lex
parar_1 de-compl-subj-raise-aux-with-pred
parar_2 nonrefl-int-verb-lex
parecer bare-inf-aux-lex
partir trans-verb-lex
passear nonrefl-int-verb-lex
pedir_1 que-subj-cl-verb-lex
pedir_2 para-que-cl-verb-lex
pensar_2 quest-verb-lex
pensar mental-act-verb-lex
perceber que-percep-verb-lex
perguntar_1 quest-verb-lex
perguntar_2 refl-quest-verb-lex
perguntar_3 quest-cl-rec-verb-lex
permitir dir-verb-lex
perseguir trans-verb-lex
persuadir a-inf-ditrans-second-arg-control-verb-lex
planejar inf-trans-first-arg-control-verb-lex
poder bare-inf-aux-lex
precisar bare-inf-aux-lex
preferir_1 inf-trans-first-arg-control-verb-lex
preferir vol-verb-lex
pregar declar-verb-lex
pretender vol-verb-lex
prever mental-act-verb-lex
proclamar declar-verb-lex
proibir_1 de-inf-ditrans-second-arg-control-verb-lex
proibir dir-verb-lex
prometer_1 inf-ditrans-first-arg-control-verb-lex
prometer_2 inf-trans-first-arg-control-verb-lex
prometer declar-verb-lex
publicar trans-verb-lex
puir trans-verb-lex
queixar_1 refl-int-verb-lex
queixar_2 refl-gen-obj-verb-lex
querer_2 inf-trans-first-arg-control-verb-lex
querer vol-verb-lex
recear vol-verb-lex
receber trans-verb-lex
reconhecer mental-act-verb-lex
recusar vol-verb-lex
repelir trans-verb-lex
reprovar que-eval-verb-lex
resolver trans-verb-lex
saber_1 quest-verb-lex
saber_2 fact-mental-act-verb-lex
saber_3 inf-trans-first-arg-control-verb-lex
sair nonrefl-int-verb-lex
sentir_1 que-percep-verb-lex
socorrer trans-verb-lex
sorrir nonrefl-int-verb-lex
sugerir declar-verb-lex
supor mental-act-verb-lex
suportar que-eval-verb-lex
tanger trans-verb-lex
temer_1 vol-verb-lex
temer_2 trans-verb-lex
tencionar inf-trans-first-arg-control-verb-lex
tentar inf-trans-first-arg-control-verb-lex
ter_1 trans-verb-lex
ter_2 ter-aux-lex
ter_3 que-de-compl-subj-raise-aux-with-pred
terminar_1 nonrefl-int-verb-lex
terminar trans-verb-lex
tolerar que-eval-verb-lex
tossir nonrefl-int-verb-lex
trabalhar nonrefl-int-verb-lex
trazer trans-verb-lex
vender trans-verb-lex
ver_1 que-percep-verb-lex
ver_2 nonpast-nonfin-ditrans-second-arg-control-verb-lex
ver_3 infl-inf-trans-first-arg-control-verb-lex
vestir trans-verb-lex
vir ger-aux-lex
viver ger-aux-lex
